gene0	AT2G26540
gene366	AT3G52780
gene367	AT3G52810
gene368	AT3G52810
gene369	AT3G52820
gene370	AT3G52820
gene371	AT3G51240
gene372	AT3G51240
gene373	AT3G51240
gene374	AT3G51240
gene375	AT3G51240
gene376	AT3G51240
gene377	AT3G50660
gene378	AT3G50660
gene379	AT3G50660
gene380	AT3G50660
gene381	AT3G50660
gene382	AT3G50660
gene383	AT3G50660
gene384	AT3G48730
gene385	AT3G48560
gene386	AT3G48560
gene387	AT3G48560
gene388	AT3G48560
gene389	AT3G48560
gene390	AT3G48560
gene391	AT3G48560
gene392	AT3G48560
gene393	AT3G48560
gene394	AT3G48560
gene395	AT3G47520
gene396	AT3G47520
gene397	AT3G47340
gene398	AT3G47340
gene399	AT3G47340
gene400	AT3G47340
gene401	AT3G47340
gene402	AT3G46970
gene403	AT3G46970
gene404	AT3G45130
gene405	AT3G45140
gene406	AT3G45140
gene407	AT3G45140
gene408	AT3G44300
gene409	AT3G44300
gene410	AT3G44300
gene411	AT3G44300
gene412	AT4G39950
gene413	AT4G39980
gene414	AT4G39980
gene415	AT4G39980
gene416	AT4G39800
gene417	AT4G39800
gene418	AT4G39350
gene419	AT4G39350
gene420	AT4G39350
gene421	AT4G39210
gene422	AT4G38880
gene423	AT4G38880
gene424	AT4G38460
gene425	AT4G38530
gene426	AT4G37930
gene427	AT4G37930
gene428	AT4G37930
gene429	AT4G37930
gene430	AT4G37930
gene431	AT4G37930
gene432	AT4G37930
gene433	AT4G38240
gene434	AT4G38240
gene435	AT4G35790
gene436	AT4G35790
gene437	AT4G35790
gene438	AT4G35630
gene439	AT4G35630
gene440	AT4G35260
gene441	AT4G35260
gene442	AT4G35260
gene443	AT4G34710
gene444	AT4G34710
gene445	AT4G34710
gene446	AT4G34710
gene447	AT4G34640
gene448	AT4G34640
gene449	AT4G34640
gene450	AT4G34640
gene451	AT4G34510
gene452	AT4G34520
gene453	AT4G34520
gene454	AT4G34740
gene455	AT4G34740
gene456	AT4G34740
gene457	AT4G34740
gene458	AT4G34740
gene459	AT4G34740
gene460	AT4G33510
gene461	AT4G33510
gene462	AT4G33510
gene463	AT4G32410
gene464	AT4G32410
gene465	AT4G32410
gene466	AT4G32410
gene467	AT4G32520
gene468	AT4G32520
gene469	AT4G32520
gene470	AT4G32540
gene471	AT4G32540
gene472	AT5G09600
gene473	AT4G31990
gene474	AT4G31990
gene475	AT4G31990
gene476	AT4G31990
gene477	AT4G31990
gene478	AT4G31500
gene479	AT4G31500
gene480	AT4G31500
gene481	AT4G31500
gene482	AT4G31500
gene483	AT4G31500
gene484	AT4G31500
gene485	AT4G31500
gene486	AT4G31500
gene487	AT4G31500
gene488	AT4G29840
gene489	AT4G29840
gene490	AT4G29840
gene491	AT4G29840
gene492	AT4G29130
gene493	AT4G29130
gene494	AT4G29130
gene495	AT4G29130
gene496	AT4G29130
gene497	AT4G27440
gene498	AT4G27440
gene499	AT4G27440
gene500	AT4G27070
gene501	AT4G27070
gene502	AT4G27070
gene503	AT4G25700
gene504	AT4G25700
gene505	AT4G25700
gene506	AT4G25970
gene507	AT4G25970
gene508	AT4G25420
gene509	AT4G25420
gene510	AT4G25420
gene511	AT4G25420
gene512	AT4G25420
gene513	AT4G25420
gene514	AT4G25000
gene515	AT4G25000
gene516	AT4G25000
gene517	AT4G25000
gene518	AT4G25080
gene519	AT4G25080
gene520	AT4G24620
gene521	AT4G24620
gene522	AT4G24620
gene523	AT4G24620
gene524	AT4G24620
gene525	AT4G22930
gene526	AT4G22930
gene527	AT4G23100
gene528	AT4G23100
gene529	AT4G23100
gene530	AT4G23100
gene531	AT4G23100
gene532	AT4G23100
gene533	AT4G23100
gene534	AT4G23100
gene535	AT4G23100
gene536	AT4G22330
gene537	AT4G22330
gene538	AT4G19710
gene539	AT4G19710
gene540	AT4G19170
gene541	AT4G19170
gene542	AT4G18770
gene543	AT4G18010
gene544	AT4G18010
gene545	AT4G18010
gene546	AT4G13700
gene547	AT4G13700
gene548	AT4G13890
gene549	AT4G13890
gene550	AT4G13890
gene551	AT4G11820
gene552	AT4G11820
gene553	AT4G11820
gene554	AT4G11610
gene555	AT4G11610
gene556	AT4G11280
gene557	AT4G10960
gene558	AT4G11010
gene559	AT4G11010
gene560	AT4G09320
gene561	AT4G04870
gene562	AT4G04870
gene563	AT4G04955
gene564	AT4G03205
gene565	AT4G02780
gene566	AT4G02780
gene567	AT4G02780
gene568	AT4G02780
gene569	AT4G02780
gene570	AT4G01850
gene571	AT4G01850
gene572	AT1G32060
gene573	AT1G32060
gene574	AT1G18640
gene575	AT1G18640
gene576	AT1G18640
gene577	AT2G40490
gene578	AT1G67070
gene579	AT1G67070
gene580	AT1G20330
gene581	AT1G20330
gene582	AT1G20330
gene583	AT1G20330
gene584	AT1G20330
gene585	AT1G20330
gene586	AT1G22020
gene587	AT1G21980
gene588	AT1G21980
gene589	AT1G21980
gene590	AT1G34120
gene591	AT1G34120
gene592	AT1G34120
gene593	AT1G34120
gene594	AT1G34120
gene595	AT1G34120
gene596	AT1G29900
gene597	AT1G29900
gene598	AT1G29900
gene599	AT1G07110
gene600	AT1G07110
gene601	AT1G07110
gene602	AT1G07110
gene603	AT1G07110
gene604	AT1G07110
gene605	AT1G13560
gene606	AT1G13560
gene607	AT1G13560
gene608	AT1G55120
gene609	AT1G55120
gene610	AT1G55120
gene611	AT3G08510
gene612	AT3G08510
gene613	AT1G30120
gene614	AT1G30120
gene615	AT1G51680
gene616	AT1G51680
gene617	AT1G51680
gene618	AT1G51680
gene619	AT1G51680
gene620	AT1G50960
gene621	AT1G55020
gene622	AT1G55020
gene623	AT1G66200
gene624	AT1G66200
gene625	AT3G52340
gene626	AT3G52340
gene627	AT3G23920
gene628	AT3G21110
gene629	AT3G21110
gene630	AT3G21110
gene631	AT3G21110
gene632	AT3G25820
gene633	AT3G20500
gene634	AT3G20500
gene635	AT3G13110
gene636	AT3G13110
gene637	AT3G13110
gene638	AT3G13110
gene639	AT3G24170
gene640	AT3G14440
gene641	AT3G14440
gene642	AT3G14440
gene643	AT3G14440
gene644	AT3G14440
gene645	AT3G20440
gene646	AT3G20440
gene647	AT3G12780
gene648	AT3G12780
gene649	AT3G12670
gene650	AT3G12670
gene651	AT3G27380
gene652	AT3G29200
gene653	AT3G29200
gene654	AT3G26650
gene655	AT3G26650
gene656	AT3G26650
gene657	AT3G26650
gene658	AT3G26650
gene659	AT3G16950
gene660	AT3G16950
gene661	AT3G16950
gene662	AT3G16950
gene663	AT3G25585
gene664	AT3G25585
gene665	AT3G25585
gene666	AT3G21230
gene667	AT3G21220
gene668	AT3G21220
gene669	AT3G21220
gene670	AT3G21220
gene671	AT3G21220
gene672	AT3G21220
gene673	AT3G21240
gene674	AT3G21240
gene675	AT3G21240
gene676	AT3G25860
gene677	AT3G25860
gene678	AT3G25860
gene679	AT3G25860
gene680	AT3G23640
gene681	AT3G23640
gene682	AT3G21500
gene683	AT3G15730
gene684	AT3G15730
gene685	AT3G15730
gene686	AT3G15730
gene687	AT3G16785
gene688	AT3G16785
gene689	AT3G16785
gene690	AT3G16785
gene691	AT3G16785
gene692	AT3G16785
gene693	AT3G16785
gene694	AT3G16785
gene695	AT3G17240
gene696	AT3G17240
gene697	AT3G17240
gene698	AT3G02600
gene699	AT3G02580
gene700	AT3G02580
gene701	AT3G02580
gene702	AT3G02580
gene703	AT3G02580
gene704	AT3G02580
gene705	AT3G02470
gene706	AT3G02470
gene707	AT3G02470
gene708	AT3G02470
gene709	AT3G05970
gene710	AT3G05970
gene711	AT3G02870
gene712	AT3G02780
gene713	AT3G02780
gene714	AT3G02780
gene715	AT3G02780
gene716	AT3G02780
gene717	AT3G02780
gene718	AT3G02780
gene719	AT3G09810
gene720	AT3G07130
gene721	AT3G07130
gene722	AT3G03250
gene723	AT3G03250
gene724	AT3G03050
gene725	AT3G03050
gene726	AT3G03050
gene727	AT3G03050
gene728	AT3G03050
gene729	AT3G10050
gene730	AT3G10050
gene731	AT3G10050
gene732	AT3G06350
gene733	AT3G06350
gene734	AT3G04870
gene735	AT3G04870
gene736	AT3G04870
gene737	AT3G04870
gene738	AT3G04870
gene739	AT3G04940
gene740	AT3G04940
gene741	AT3G10230
gene742	AT3G10230
gene743	AT3G10230
gene744	AT3G01120
gene745	AT3G01120
gene746	AT3G01120
gene747	AT3G01120
gene748	AT3G01120
gene749	AT3G01120
gene750	AT3G01120
gene751	AT3G01120
gene752	AT3G01120
gene753	AT3G03780
gene754	AT1G13280
gene755	AT1G17745
gene756	AT1G17745
gene757	AT1G06310
gene758	AT1G06310
gene759	AT1G01480
gene760	AT1G01480
gene761	AT1G01480
gene762	AT1G01480
gene763	AT1G01480
gene764	AT1G42970
gene765	AT1G42970
gene766	AT1G42970
gene767	AT1G56360
gene768	AT1G56360
gene769	AT1G52340
gene770	AT1G52340
gene771	AT1G52340
gene772	AT1G52340
gene773	AT1G52340
gene774	AT1G52340
gene775	AT1G52340
gene776	AT1G52340
gene777	AT1G52340
gene778	AT1G52340
gene779	AT1G52340
gene780	AT1G52340
gene781	AT1G52340
gene782	AT1G60980
gene783	AT1G29410
gene784	AT1G29410
gene785	AT1G29410
gene786	AT1G76690
gene787	AT1G76690
gene788	AT1G76490
gene789	AT1G76490
gene790	AT1G76490
gene791	AT1G76490
gene792	AT1G76490
gene793	AT1G68000
gene794	AT1G68000
gene795	AT1G30040
gene796	AT1G74420
gene797	AT1G74420
gene798	AT1G74470
gene799	AT1G80330
gene800	AT1G80340
gene801	AT1G80340
gene802	AT1G80340
gene803	AT1G63970
gene804	AT1G63970
gene805	AT1G63970
gene806	AT1G63970
gene807	AT1G69370
gene808	AT1G69370
gene809	AT1G69370
gene810	AT1G69370
gene811	AT1G69740
gene812	AT1G74040
gene813	AT1G74040
gene814	AT1G74040
gene815	AT1G74040
gene816	AT1G69830
gene817	AT1G69830
gene818	AT2G43360
gene819	AT2G43360
gene820	AT2G43360
gene821	AT2G43360
gene822	AT2G43360
gene823	AT2G43750
gene824	AT2G43750
gene825	AT2G43750
gene826	AT2G43750
gene827	AT2G43750
gene828	AT2G43750
gene829	AT2G43750
gene830	AT2G43710
gene831	AT2G43710
gene832	AT1G55850
gene833	AT1G55850
gene834	AT1G62380
gene835	AT1G62380
gene836	AT1G62380
gene837	AT1G62380
gene838	AT1G78440
gene839	AT1G06290
gene840	AT1G06290
gene841	AT1G06290
gene842	AT1G78390
gene843	AT1G78390
gene844	AT1G43710
gene845	AT1G43710
gene846	AT1G02500
gene847	AT1G02500
gene848	AT1G02500
gene849	AT1G12240
gene850	AT1G12240
gene851	AT1G12240
gene852	AT1G26440
gene853	AT1G17420
gene854	AT1G75330
gene855	AT1G75330
gene856	AT1G75330
gene857	AT1G19640
gene858	AT1G19640
gene859	AT1G52940
gene860	AT1G52940
gene861	AT1G01120
gene862	AT1G01090
gene863	AT1G01090
gene864	AT1G27680
gene865	AT1G27680
gene866	AT1G18500
gene867	AT1G08520
gene868	AT1G08520
gene869	AT1G08520
gene870	AT1G76130
gene871	AT1G76130
gene872	AT1G15550
gene873	AT1G15550
gene874	AT1G15550
gene875	AT1G15550
gene876	AT1G15550
gene877	AT1G50480
gene878	AT1G50480
gene879	AT1G50480
gene880	AT1G65060
gene881	AT1G65060
gene882	AT1G52570
gene883	AT1G52570
gene884	AT1G52570
gene885	AT1G74960
gene886	AT1G74960
gene887	AT1G74960
gene888	AT1G74960
gene889	AT1G74710
gene890	AT1G74710
gene891	AT1G74710
gene892	AT1G74710
gene893	AT1G74710
gene894	AT1G74710
gene895	AT1G49340
gene896	AT1G49530
gene897	AT1G49530
gene898	AT1G17050
gene899	AT1G06570
gene900	AT1G06570
gene901	AT1G06570
gene902	AT1G06570
gene903	AT1G06570
gene904	AT1G06570
gene905	AT1G62800
gene906	AT1G62800
gene907	AT1G62800
gene908	AT1G14110
gene909	AT1G14110
gene910	AT1G14110
gene911	AT1G14110
gene912	AT1G14110
gene913	AT1G14110
gene914	AT1G14070
gene915	AT1G14080
gene916	AT1G14080
gene917	AT1G14700
gene918	AT1G14700
gene919	AT1G64970
gene920	AT1G64970
gene921	AT1G64970
gene922	AT1G64970
gene923	AT1G64970
gene924	AT1G64970
gene925	AT1G59900
gene926	AT1G59900
gene927	AT1G79550
gene928	AT1G79550
gene929	AT1G79550
gene930	AT1G54340
gene931	AT1G54340
gene932	AT2G27190
gene933	AT2G27190
gene934	AT2G27190
gene935	AT2G27190
gene936	AT2G27190
gene937	AT2G27190
gene938	AT1G78660
gene939	AT1G36160
gene940	AT1G36160
gene941	AT1G36160
gene942	AT1G36160
gene943	AT1G36160
gene944	AT1G36160
gene945	AT1G36160
gene946	AT1G36160
gene947	AT1G36160
gene948	AT1G36160
gene949	AT1G36160
gene950	AT1G30620
gene951	AT1G30620
gene952	AT1G30620
gene953	AT2G16570
gene954	AT2G16570
gene955	AT2G16570
gene956	AT2G16500
gene957	AT2G16500
gene958	AT2G16500
gene959	AT2G16500
gene960	AT2G16500
gene961	AT2G16500
gene962	AT2G22250
gene963	AT2G22250
gene964	AT2G22250
gene965	AT2G21590
gene966	AT2G16430
gene967	AT2G15370
gene968	AT2G17130
gene969	AT2G17130
gene970	AT2G17130
gene971	AT2G01880
gene972	AT2G01880
gene973	AT2G01890
gene974	AT2G01890
gene975	AT2G01890
gene976	AT2G01890
gene977	AT2G01890
gene978	AT2G16370
gene979	AT2G16370
gene980	AT2G16370
gene981	AT1G31230
gene982	AT2G36880
gene983	AT2G37040
gene984	AT2G37040
gene985	AT2G37040
gene986	AT2G21770
gene987	AT2G21770
gene988	AT2G21770
gene989	AT2G21790
gene990	AT2G36390
gene991	AT2G36390
gene992	AT2G36530
gene993	AT2G42790
gene994	AT2G42790
gene995	AT1G67490
gene996	AT1G67490
gene997	AT1G67490
gene998	AT1G67490
gene999	AT1G67490
gene1000	AT1G60440
gene1001	AT1G78680
gene1002	AT1G78670
gene1003	AT1G70310
gene1004	AT1G70310
gene1005	AT1G61720
gene1006	AT1G61720
gene1007	AT1G09420
gene1008	AT1G09420
gene1009	AT1G05160
gene1010	AT1G05160
gene1011	AT1G05160
gene1012	AT1G05160
gene1013	AT1G05160
gene1014	AT1G65580
gene1015	AT1G65580
gene1016	AT1G08550
gene1017	AT1G08550
gene1018	AT1G08550
gene1019	AT1G03475
gene1020	AT1G03475
gene1021	AT1G03475
gene1022	AT1G03475
gene1023	AT1G03475
gene1024	AT1G03475
gene1025	AT1G03630
gene1026	AT1G03630
gene1027	AT1G03630
gene1028	AT1G03630
gene1029	AT2G17265
gene1030	AT2G17265
gene1031	AT2G17265
gene1032	AT2G17370
gene1033	AT1G24180
gene1034	AT1G11680
gene1035	AT1G11680
gene1036	AT1G11680
gene1037	AT1G11680
gene1038	AT1G11680
gene1039	AT1G11680
gene1040	AT1G60490
gene1041	AT1G60490
gene1042	AT1G03980
gene1043	AT1G51260
gene1044	AT1G23820
gene1045	AT1G23820
gene1046	AT1G05010
gene1047	AT1G05010
gene1048	AT1G05010
gene1049	AT1G05010
gene1050	AT2G46505
gene1051	AT2G06050
gene1052	AT2G06050
gene1053	AT2G06050
gene1054	AT2G06050
gene1055	AT2G25540
gene1056	AT2G25540
gene1057	AT2G13810
gene1058	AT2G13810
gene1059	AT2G03450
gene1060	AT2G03450
gene1061	AT2G35690
gene1062	AT2G35690
gene1063	AT2G37250
gene1064	AT2G37250
gene1065	AT2G24210
gene1066	AT2G24270
gene1067	AT2G05990
gene1068	AT2G05990
gene1069	AT2G05990
gene1070	AT2G05990
gene1071	AT2G05990
gene1072	AT2G40690
gene1073	AT2G40690
gene1074	AT2G40690
gene1075	AT2G18640
gene1076	AT2G18640
gene1077	AT2G38050
gene1078	AT2G38050
gene1079	AT2G38050
gene1080	AT2G38050
gene1081	AT2G38050
gene1082	AT2G27820
gene1083	AT2G27820
gene1084	AT2G46720
gene1085	AT2G46720
gene1086	AT2G32440
gene1087	AT2G32440
gene1088	AT2G32440
gene1089	AT2G32440
gene1090	AT2G32290
gene1091	AT2G41220
gene1092	AT2G41220
gene1093	AT2G07050
gene1094	AT2G07050
gene1095	AT2G07050
gene1096	AT2G29690
gene1097	AT2G19860
gene1098	AT2G19860
gene1099	AT2G19860
gene1100	AT2G03220
gene1101	AT2G03220
gene1102	AT2G03220
gene1103	AT2G03220
gene1104	AT2G03220
gene1105	AT2G03220
gene1106	AT2G03220
gene1107	AT2G03220
gene1108	AT2G03210
gene1109	AT2G03210
gene1110	AT2G26930
gene1111	AT2G26930
gene1112	AT2G26930
gene1113	AT2G26930
gene1114	AT2G26930
gene1115	AT2G26930
gene1116	AT2G44810
gene1117	AT2G44810
gene1118	AT2G45880
gene1119	AT2G18950
gene1120	AT2G18950
gene1121	AT2G18950
gene1122	AT2G18950
gene1123	AT2G18950
gene1124	AT2G18950
gene1125	AT2G18950
gene1126	AT2G18950
gene1127	AT2G18950
gene1128	AT2G18950
gene1129	AT2G18950
gene1130	AT2G34555
gene1131	AT2G34630
gene1132	AT2G34630
gene1133	AT2G32620
gene1134	AT2G32620
gene1135	AT2G32620
gene1136	AT2G41490
gene1137	AT2G41490
gene1138	AT2G32540
gene1139	AT2G32540
gene1140	AT2G32540
gene1141	AT2G32610
gene1142	AT2G32610
gene1143	AT2G32610
gene1144	AT2G23410
gene1145	AT2G30970
gene1146	AT2G30970
gene1147	AT2G30970
gene1148	AT2G02500
gene1149	AT2G02500
gene1150	AT2G02500
gene1151	AT2G02500
gene1152	AT2G02500
gene1153	AT2G19450
gene1154	AT2G19450
gene1155	AT2G19450
gene1156	AT2G19450
gene1157	AT2G19450
gene1158	AT2G19450
gene1159	AT2G19450
gene1160	AT2G19450
gene1161	AT2G19450
gene1162	AT2G19450
gene1163	AT2G23800
gene1164	AT2G23800
gene1165	AT2G23800
gene1166	AT2G23800
gene1167	AT2G23800
gene1168	AT2G44350
gene1169	AT2G44350
gene1170	AT2G44350
gene1171	AT2G30490
gene1172	AT2G30490
gene1173	AT2G30490
gene1174	AT2G30490
gene1175	AT2G30490
gene1176	AT2G30490
gene1177	AT2G30490
gene1178	AT2G30490
gene1179	AT2G30490
gene1180	AT2G42010
gene1181	AT2G42010
gene1182	AT2G42010
gene1183	AT2G42010
gene1184	AT2G41880
gene1185	AT2G41880
gene1186	AT2G41880
gene1187	AT2G32770
gene1188	AT2G32770
